"item_id","protein"
92,"calamari"
93,"chicken"
103,"pepperoni"
104,"beef"
105,"pork"
106,"chicken"
107,"pepperoni"
107,"beef"
108,"beef"
110,"pepperoni"
111,"chicken"
112,"pork"
116,"pork"
120,"chicken"
120,"pork"
121,"beef"
123,"beef"
125,"pepperoni"
125,"pork"
128,"anchovies"
128,"tuna"
129,"chicken"
130,"pork"
131,"chicken"
131,"anchovies"
132,"quorn"
133,"quorn"
135,"quorn"
137,"quorn"
