"item_id","protein"
4,"chicken"
5,"chicken"
6,"chicken"
7,"chicken"
8,"chicken"
9,"chicken"
10,"chicken"
11,"chicken"
12,"chicken"
13,"chicken"
14,"chicken"
15,"chicken"
16,"chicken"
17,"chicken"
18,"chicken"
19,"pea-protein"
20,"pea-protein"
